title_tag,top_category,sub_category,url_name,url_link
DMOZ - The Directory of the Web,Arts,"Movies,Television,Music",,/
,Business,"Jobs,Real Estate,Investing",resource-zone,https://www.resource-zone.com/
,Computers,"Internet,Software,Hardware",,
,Games,"Video Games,RPGs,Gambling",,
,Health,"Fitness,Medicine,Alternative",Follow @dmoz,https://twitter.com/dmoz
,Home,"Family,Consumers,Cooking",        About       ,/docs/en/about.html
,News,"Media,Newspapers,Weather",   Become an Editor ,/docs/en/help/become.html
,Recreation,"Travel,Food,Outdoors,Humor",            Suggest a Site          ,/docs/en/add.html
,Reference,"Maps,Education,Libraries", Help             ,/docs/en/help/helpmain.html
,Regional,"US,Canada,UK,Europe", Login                       ,/editors/
,Science,"Biology,Psychology,Physics","
                  , Visit DMOZ on Facebook ",http://www.facebook.com/dmoz
,Shopping,"Clothing,Food,Gifts","
                  ,  Visit DMOZ on Twitter ",http://www.twitter.com/dmoz
,Society,"People,Religion,Issues",Help with Search,/docs/en/searchguide.html
,Sports,"Baseball,Soccer,Basketball",Arts,/Arts/
,"Kids , Teens Directory","Arts,School Time,Teen Life",Movies,/Arts/Movies/
,"DMOZ , World","Deutsch,Fran?ais,日本Z,Italiano,Espa?ol,Русский",Television,/Arts/Television/
,,,Music,/Arts/Music/
,,,Business,/Business/
,,,Jobs,/Business/Employment/
,,,Real Estate,/Business/Real_Estate/
,,,Investing,/Business/Investing/
,,,Computers,/Computers/
,,,Internet,/Computers/Internet/
,,,Software,/Computers/Software/
,,,Hardware,/Computers/Hardware/
,,,Games,/Games/
,,,Video Games,/Games/Video_Games/
,,,RPGs,/Games/Roleplaying/
,,,Gambling,/Games/Gambling/
,,,Health,/Health/
,,,Fitness,/Health/Fitness/
,,,Medicine,/Health/Medicine/
,,,Alternative,/Health/Alternative/
,,,Home,/Home/
,,,Family,/Home/Family/
,,,Consumers,/Home/Consumer_Information/
,,,Cooking,/Home/Cooking/
,,,News,/News/
,,,Media,/News/Media/
,,,Newspapers,/News/Newspapers/
,,,Weather,/News/Weather/
,,,Recreation,/Recreation/
,,,Travel,/Recreation/Travel/
,,,Food,/Recreation/Food/
,,,Outdoors,/Recreation/Outdoors/
,,,Humor,/Recreation/Humor/
,,,Reference,/Reference/
,,,Maps,/Reference/Maps/
,,,Education,/Reference/Education/
,,,Libraries,/Reference/Libraries/
,,,Regional,/Regional/
,,,US,/Regional/North_America/United_States/
,,,Canada,/Regional/North_America/Canada/
,,,UK,/Regional/Europe/United_Kingdom/
,,,Europe,/Regional/Europe/
,,,Science,/Science/
,,,Biology,/Science/Biology/
,,,Psychology,/Science/Social_Sciences/Psychology/
,,,Physics,/Science/Physics/
,,,Shopping,/Shopping/
,,,Clothing,/Shopping/Clothing/
,,,Food,/Shopping/Food/
,,,Gifts,/Shopping/Gifts/
,,,Society,/Society/
,,,People,/Society/People/
,,,Religion,/Society/Religion_and_Spirituality/
,,,Issues,/Society/Issues/
,,,Sports,/Sports/
,,,Baseball,/Sports/Baseball/
,,,Soccer,/Sports/Soccer/
,,,Basketball,/Sports/Basketball/
,,,"Kids , Teens Directory",/Kids_and_Teens/
,,,Arts,/Kids_and_Teens/Arts/
,,,School Time,/Kids_and_Teens/School_Time/
,,,Teen Life,/Kids_and_Teens/Teen_Life/
,,,"DMOZ , World",/World/
,,,Deutsch,/World/Deutsch/
,,,Fran?ais,/World/Fran%C3%A7ais/
,,,日本Z,/World/Japanese/
,,,Italiano,/World/Italiano/
,,,Espa?ol,/World/Espa%C3%B1ol/
,,,Русский,/World/Russian/
,,,Nederlands,/World/Nederlands/
,,,Polski,/World/Polski/
,,,Türk?e,/World/T%C3%BCrk%C3%A7e/
,,,Dansk,/World/Dansk/
,,,简体中文,/World/Chinese_Simplified/
,,,Terms of Use,/docs/en/termsofuse.html
,,,CMBuild,/docs/en/cmbuild.html
